danceability,energy,tempo,loudness,valence,track_name,artist_name,genre,Cluster,Mood
0.327,0.835,171.795,-4.952,0.385,My Time's Comin',A Thousand Horses,Country,2,🎸 Energetic / Hype
0.217,0.108,76.792,-18.62,0.0428,The Magic Of Halloween - Soundtrack Reissue (2002),John Williams,Soundtrack,1,😢 Sad / Acoustic
0.632,0.529,115.013,-4.492,0.399,Rosas Y Espinas,La Secta AllStar,Reggae,3,😌 Chill / Neutral
0.745,0.772,133.113,-3.949,0.17,Endz - Original Mix,Stooki Sound,Electronic,2,🎸 Energetic / Hype
0.271,0.154,78.272,-13.183,0.165,Glad to Be Unhappy (feat. John Mayer),Chris Botti,Jazz,1,😢 Sad / Acoustic
0.787,0.224,146.054,-9.607,0.657,How Much Is That Doggy In The Window?,Sugar Kane Music,Children's Music,0,🎉 Party / Happy
0.62,0.497,155.908,-9.585,0.55,Morning Light,Justin Timberlake,Pop,2,🎸 Energetic / Hype
0.929,0.61,136.081,-6.064,0.868,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Lil Keke,Hip-Hop,0,🎉 Party / Happy
0.57,0.715,148.032,-3.399,0.831,Get Up,Cole Swindell,Country,2,🎸 Energetic / Hype
0.223,0.0332,94.016,-28.02,0.246,"Swan Lake, Op. 20, Act II No. 13, Danses des cygnes: Act II By a Lake: No. 13. Dances of the swans: I. Tempo di valse",Pyotr Ilyich Tchaikovsky,Classical,1,😢 Sad / Acoustic
0.658,0.623,107.012,-7.861,0.656,Blues for Stochelo,Joscho Stephan,Jazz,0,🎉 Party / Happy
0.74,0.448,139.984,-6.166,0.233,Hannah,Amarion,Reggaeton,3,😌 Chill / Neutral
0.543,0.339,110.981,-8.523,0.367,teddy bear,Ayumi Hamasaki,Anime,3,😌 Chill / Neutral
0.807,0.594,130.086,-7.945,0.83,Tied Up,LEISURE,R&B,0,🎉 Party / Happy
0.653,0.955,116.17,-3.378,0.904,La Distancia,Panteon Rococo,Ska,0,🎉 Party / Happy
0.57,0.773,94.395,-12.502,0.318,Yul Brynner,Bill Hicks,Comedy,3,😌 Chill / Neutral
0.249,0.257,79.599,-15.19,0.115,Handel: Rodelinda: Ritorna o caro,Dame Joan Sutherland,Opera,1,😢 Sad / Acoustic
0.676,0.645,151.058,-9.335,0.537,How To Fly,Sticky Fingers,Reggae,2,🎸 Energetic / Hype
0.674,0.531,129.939,-6.941,0.17,Basic,Sigrid,Dance,3,😌 Chill / Neutral
0.561,0.525,83.414,-8.717,0.516,Words (feat. India.Arie),Anthony David,Soul,3,😌 Chill / Neutral
0.877,0.662,127.987,-7.621,0.465,Rise To The Occasion,Sizzla,Reggae,0,🎉 Party / Happy
0.346,0.396,93.233,-12.731,0.41,Solamente Una Vez,Nat King Cole,Jazz,3,😌 Chill / Neutral
0.369,0.298,115.298,-20.784,0.499,Hallelujah Junction,John Adams,Classical,1,😢 Sad / Acoustic
0.374,0.00526,69.813,-35.546,0.386,"Kinderszenen, Op. 15: I. Von fremden Ländern und Menschen",Robert Schumann,Classical,1,😢 Sad / Acoustic
0.719,0.739,115.142,-5.577,0.603,Wonder,Natalie Merchant,Folk,0,🎉 Party / Happy
0.523,0.96,117.168,-3.532,0.675,Tactics - Remastered,THE YELLOW MONKEY,Anime,0,🎉 Party / Happy
0.608,0.577,128.872,-6.477,0.111,The Preface,The Littlest Man Band,Ska,3,😌 Chill / Neutral
0.56,0.688,76.997,-4.437,0.611,I Knew You Were Trouble,We Came As Romans,Rock,0,🎉 Party / Happy
0.605,0.895,133.931,-4.754,0.838,Siente El Fuego,La Secta AllStar,Reggae,0,🎉 Party / Happy
0.435,0.95,160.987,-3.869,0.457,Everything Is Alright,Motion City Soundtrack,Pop,2,🎸 Energetic / Hype
0.503,0.614,108.631,-10.875,0.493,Gringo Honeymoon,Robert Earl Keen,Country,3,😌 Chill / Neutral
